CODIGO	DIAGNOSTIC
A00	COLERA
A000	"COLERA DEBIDA A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE"
A001	"COLERA DEBIDA A VIBRIO CHOLERAE 01, BIOTIPO EL TOR"
A009	"COLERA, NO ESPECIFICADO"
A01	FIEBRES TIFOIDEA Y PARATIFOIDEA
A010	FIEBRE TIFOIDEA
A011	FIEBRE PARATIFOIDEA A
A012	FIEBRE PARATIFOIDEA B
A013	FIEBRE PARATIFOIDEA C
A014	"FIEBRE PARATIFOIDEA, NO ESPECIFICADA"
A02	OTRAS INFECCIONES DEBIDAS A SALMONELLA
A020	ENTERITIS DEBIDA A SALMONELLA
A021	SEPTICEMIA DEBIDA A SALMONELLA
A022	INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA
A028	OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
A029	"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA"
A03	SHIGELOSIS
A030	SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE
A031	SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI
A032	SHIGELOSIS DEBIDA A SHIGELLA BOYDII
A033	SHIGELOSIS DEBIDA A SHIGELLA SONNEI
A038	OTRAS SHIGELOSIS
A039	SHIGELOSIS DE TIPO NO ESPECIFICADO
A04	OTRAS INFECCIONES INTESTINALES BACTERIANAS
A040	INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA
A041	INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA
A042	INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA
A043	INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA
A044	OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI
A045	ENTERITIS DEBIDA A CAMPYLOBACTER
A046	ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA
A047	ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE
A048	OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
A049	"INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA"
A05	OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS
A050	INTOXICACION ALIMENTARIA ESTAFILOCOCICA
A051	BOTULISMO
A052	INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS >CLOSTRIDIUM WELCHII!
A053	INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS
